Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
211778,Paul Oakenfold,Otherside - Future House Radio Edit,1LJEXklh7ltCBRr16W7XBi,8,2015,trance,0.732,0.852,0,-4.901,1,0.0429,0.0457,0.404,0.223,0.175,125.972,228571,4
182680,CeCe Winans,I Surrender All,7b39waHuql2fvhgpMSOPbQ,11,2015,gospel,0.174,0.334,0,-8.071,1,0.0298,0.74,7.09e-06,0.343,0.084,88.209,329187,4
116369,John Philip Sousa,Hands Across The Sea,6yWQlGiFJ5q7TTmrqCzgBV,22,2014,classical,0.593,0.423,10,-10.667,1,0.0441,0.883,0.863,0.341,0.895,117.496,169133,4
1366162,Max Enforcer,Gold - Bioweapon Remix,7cvAk2b1Xg37lyFn8sVTzz,17,2010,hardstyle,0.563,0.919,1,-6.058,1,0.257,0.00188,0.768,0.1,0.43,75.014,329049,4
989414,Diapsiquir,TEST1M5N20,1ouXvmZH25A3q8RVAws73A,1,2005,black-metal,0.262,0.844,10,-5.879,0,0.0955,0.439,0.0145,0.446,0.219,129.58,244307,4
31349,Frontliner,Symbols,4RfC0nKWcTywf9lrSjEgt5,4,2012,hardstyle,0.598,0.869,6,-4.65,1,0.0765,0.0417,0.0155,0.245,0.315,149.973,360125,4
1032205,Pernice Brothers,Subject Drop,4oFfwwv7XWG8PanLqPgnzC,2,2005,power-pop,0.463,0.815,8,-4.922,1,0.0386,0.0034,0.0,0.368,0.542,113.796,167573,4
546142,Whiney,No Good - In:Most Remix,29RwfbiPhTvitX29Q8mSMc,18,2022,drum-and-bass,0.635,0.553,11,-5.501,0,0.0548,0.000557,0.407,0.257,0.119,173.985,264928,4
1215411,Jimmie's Chicken Shack,Mutha Luvas,4TaMAk9XsfbmMjX7o8mDX1,13,2008,funk,0.758,0.576,5,-8.953,1,0.156,0.0304,0.0,0.253,0.838,150.042,221707,4
1388341,Spanish Harlem Orchestra,El Negro Tiene Tumbao,1sceZZcdLI8T4EDhUeKZkh,12,2010,salsa,0.602,0.677,9,-8.52,1,0.0512,0.145,0.00191,0.0635,0.884,103.239,384013,4
1262558,Sugar Ray,Every Morning [Live Acoustic Version],5CxoG7ijDQRbngItWDUDyX,40,2009,alt-rock,0.73,0.429,8,-6.256,1,0.0367,0.105,0.0,0.0531,0.907,111.246,197107,4
767444,Sheik Chinna Moulana,Entha Bhagyamu - Raga: Saranga; Tala: Adi,4zZRZm9jx1M4vNanzTrBQ2,0,2001,indian,0.431,0.897,2,-4.626,1,0.0509,0.698,0.957,0.0503,0.868,113.165,370013,4
1349952,Echologist,Dirt - Ben Klock Edit,0oc1L1lz0Fl1jGdLvMJDH3,8,2010,dub,0.626,0.468,4,-13.893,0,0.0799,0.00611,0.795,0.179,0.402,127.013,385299,4
1245663,Peter Cetera,Hard to Say I'm Sorry / You're the Inspiration / Glory of Love - Live,5iVyfEtCJEoFUH7xpbIjv9,34,2008,rock,0.365,0.393,9,-8.135,1,0.03,0.443,0.0,0.827,0.218,72.258,319800,4
426334,The Fleetwoods,We Belong Together,4fAwG71BtzYurdd4dK7eOy,28,2020,blues,0.458,0.101,6,-19.143,1,0.03,0.941,0.000123,0.109,0.444,94.62,87293,5
1249210,As Galvão,Faz O Povo Balançar,5UJBAy4P9zspiMbzk72B5x,7,2008,sertanejo,0.867,0.784,5,-4.416,1,0.0342,0.499,0.0,0.264,0.979,120.069,193227,4
273714,Chance Peña,Roll Your Eyes,1LU67itteW0yw9XRXLRY0N,36,2017,folk,0.399,0.645,5,-5.096,1,0.0593,0.608,6.81e-06,0.0972,0.247,84.464,200000,4
406739,Neha Kakkar,Wah Wai Wahh,1WNx951v5YEC58zCvcGDNk,46,2019,pop-film,0.804,0.905,2,-1.512,0,0.0517,0.415,5.49e-06,0.0741,0.715,98.055,176344,4
553251,Mando Diao,Frustration,4eorTN87IvIkjNI6gSO2Pi,43,2022,garage,0.518,0.666,5,-3.535,1,0.147,0.0128,0.0607,0.239,0.625,160.173,151334,4
156161,The Paranoias,Ella,0FD22PqVa8k56BUONeSlen,4,2014,ska,0.601,0.798,1,-10.136,0,0.192,0.407,0.00041,0.122,0.428,146.479,128720,4
186535,Kublai Khan TX,Life for a Life,3uKB9ATUrPzYd0qmxapgJs,35,2015,hardcore,0.297,0.971,10,-2.873,0,0.0941,1.44e-05,0.0,0.0344,0.292,159.949,153964,4
614629,Houba,We Don't Regret Anything,4MrFFxReLQf0yQ0YYxCf2Z,10,2023,punk-rock,0.452,0.959,11,-3.47,1,0.163,0.00135,0.0,0.263,0.678,130.679,190648,4
293520,Ozuna,Dile Que Tu Me Quieres,5u5MvmVtitax9R1Mxh3reC,72,2017,pop,0.773,0.757,1,-4.959,1,0.0526,0.0864,3.73e-06,0.0727,0.858,88.006,226520,4
534242,Sodom,Electrocution,6rZiJDGRYpJhKtVHtK8kGO,23,2022,black-metal,0.272,0.993,4,-5.324,1,0.159,0.0002,0.264,0.522,0.0995,112.554,201880,1
1000631,Black Sun Empire,Everything,6i4T80f5UsQXT8SWIyr159,8,2005,drum-and-bass,0.542,0.996,8,-2.893,0,0.128,0.0162,0.561,0.867,0.275,174.005,404898,4
51864,Belén Moreno,Con una mirada,4HVRQfzhsJi3PP9jLSH9RT,9,2012,spanish,0.63,0.647,7,-6.576,1,0.035,0.567,0.0,0.0859,0.541,150.091,250133,4
552114,Cory Wong,Power Station,2pN8vPfn5sa8StXHg7fydH,35,2022,funk,0.775,0.875,0,-4.757,1,0.0765,0.103,0.0204,0.127,0.902,128.03,202614,4
1190126,The Weepies,Lighting Candles,3T2IesM8EzN0LlODpgajPF,18,2008,acoustic,0.715,0.426,9,-9.995,1,0.026,0.548,0.0709,0.101,0.53,103.95,187400,4
295006,Mikal Cronin,I Don't Mind,6fTut1v5t8cWT8ctmT6pNJ,5,2017,power-pop,0.47,0.376,7,-13.267,1,0.0337,0.379,0.0,0.287,0.744,91.328,198949,4
1288802,Johann Sebastian Bach,"Preludes and Fugues: IV. Prelude in E Minor, BWV 855",0LlQoVpaFtAncoqyrACCCz,13,2009,german,0.324,0.151,7,-25.371,1,0.0374,0.995,0.844,0.13,0.662,133.94,71267,4
1354211,MASS OF THE FERMENTING DREGS,まで。 - 情熱ミックス,58QsABRT552X149eGS9tlA,23,2010,emo,0.329,0.91,9,-2.873,1,0.0767,4.55e-05,0.771,0.334,0.446,147.85,201413,4
145222,Doug Hammer,Crimson Sky,0jByE2L9L5eckPfNe9sKdC,2,2014,new-age,0.161,0.0322,8,-24.305,1,0.0407,0.986,0.964,0.0946,0.0384,80.214,406500,4
182384,Jimmy Fortune,Elizabeth,7AlCIVBHcbKxjPdhKeftY6,14,2015,gospel,0.579,0.33,0,-8.831,1,0.0293,0.604,0.0,0.301,0.301,96.07,268067,4
632441,Peter Broggs,Jah Jah Voice Is Calling,3rgJU6rrsf8rHguGaZEaZW,16,2000,dancehall,0.706,0.918,3,-3.992,0,0.0311,0.0201,0.0297,0.11,0.938,137.937,256627,4
992004,Mark Farina,Cali Spaces - Remix,14ylcw1BNU7hVs8Kh7XXgJ,19,2005,chicago-house,0.801,0.639,5,-8.228,1,0.0707,0.221,0.918,0.0548,0.839,102.054,406516,4
285765,Assaf,Trinity,5XVmcotNwjiyeR6rgb9HtI,44,2017,house,0.709,0.633,9,-10.135,0,0.0454,0.394,0.932,0.136,0.5,124.991,239000,4
